Country Name,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015
Middle income,MIC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,85.6185836791992,88.749412536621,88.749412536621,
North America,NAC,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,97.8275909423828,95.4057693481445,95.0980224609375,
North America,NAC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
North America,NAC,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
North America,NAC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
OECD members,OED,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,98.3331909179688,97.2041625976563,97.1194229125977,
OECD members,OED,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,
OECD members,OED,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,
OECD members,OED,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,
South Asia,SAS,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,79.415641784668,89.147819519043,92.4785690307617,
South Asia,SAS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,58.0854187011719,66.6911773681641,66.6911773681641,
South Asia,SAS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,45.6534576416016,57.0041389465332,57.0041389465332,
South Asia,SAS,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,69.8258972167969,76.0219421386719,76.0219421386719,
Sub-Saharan Africa,SSF,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,60.2315101623535,69.7988662719727,75.4619979858398,
Sub-Saharan Africa,SSF,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,56.98193359375,60.8805465698242,60.8805465698242,
Sub-Saharan Africa,SSF,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,47.6012077331543,53.0099716186523,53.0099716186523,
Sub-Saharan Africa,SSF,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,67.2084045410156,69.2233047485352,69.2233047485352,
Sub-Saharan Africa (excluding high income),SSA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,60.2286911010742,69.7971420288086,75.4607315063477,
Sub-Saharan Africa (excluding high income),SSA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,56.9764060974121,60.8757553100586,60.8757553100586,
Sub-Saharan Africa (excluding high income),SSA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,47.5940971374512,53.0041542053223,53.0041542053223,
Sub-Saharan Africa (excluding high income),SSA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,67.2045745849609,69.2196884155273,69.2196884155273,
Upper middle income,UMC,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,94.6059875488281,95.8577117919922,95.7556610107422,95.7058792114258
Upper middle income,UMC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,90.6573104858398,94.2689895629883,94.2689895629883,
Upper middle income,UMC,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,87.3636474609375,92.3570022583008,92.3570022583008,
Upper middle income,UMC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,93.971580505371,96.2098083496094,96.2098083496094,
